Badu Crabolu;PONTE BADU CRABOLU;224,95;0,92;1,33;1,8;-0,19;0;12,28;8,94;11,8;9,9;11,55;12,92;11,1;17,55;9,04;20,15;7;22,04;5,05;22,81;3,21;23,18;1,65;24,41;1,19;24,6;1,15;29,63;0,12;34,12;-0,74;36,6;0,54;37,76;1,37;39,67;1,94;42,27;2,96;43,67;3,22;47,12;5,68;50,34;8,19;51,41;9,83;58,65;11,54;120920170100
Ballao;PONTE SUL FLUMENDOSA;77,923;1,75;1,89;2,08;0,44;120920170100
Flumineddu ad Allai;ALLAI;44,128;2;3;3,78;0,19;0;8,872;0;2,932;2,89;2,392;4,77;0,62;5,17;-1,007;27,73;-0,563;28,13;0,62;30,15;2,184;33,76;2,998;33,76;8,872;120920170100
Flumini Uri a S.Vito;PONTE SUL FLUMINI URI;8,78;0,52;0,79;1;-0,05;0;5,63;22,68;5,13;25,91;3,06;27,01;2,11;27,15;1,52;28,18;0,6;30,29;-0,37;35,18;-0,29;41,97;-0,26;44,33;-0,28;50,82;-0,1;58,45;-0,21;60,63;-0,1;67,05;-0,18;73,53;-0,29;75,84;2,5;76,18;2,3;79,24;2,81;83,03;3,38;85,71;4,33;96,59;4,86;120920170100
Fluminimannu a Decimomannu;DECIMOMANNU;4,788;1,5;2,5;3,1;0,82;0;5,443;5,79;2,886;25,51;2,063;43,23;0,784;44,23;-0,148;68,73;-0,133;69,73;0,784;73,33;2,471;153,49;2,453;212,6;2,53;220,03;5,19;120920170100
Fluminimannu a Furtei;PONTE SUL F.MANNU;82,17;2,76;3,3;3,84;0,65;0;6,08;4,17;7,47;5,07;7,58;6,67;7,3;12,74;4,1;15,53;3,41;16,95;3,29;28,12;3,31;40,33;3,31;41,15;3,37;47,28;3,18;48,04;3,17;52,67;2,86;53,58;2,21;57,11;1,84;58,27;1,51;62,22;1,25;63,05;0,62;67,88;0,5;70,02;0,66;70,85;1,05;79,73;1,98;80,76;2,87;85,24;2,67;86,13;2,65;92,22;2,53;93,15;2,41;103,32;2,12;116,43;2,38;119,26;3,73;124,89;6,41;129,34;8,7;131,69;8,99;120920170100
Mannu di Porto Torres;PONTE MOLINU;82,485;1,16;1,7;2,5;-0,09;0;5,57;0;3,54;6,47;1,69;8,44;0,1;10,92;5,47;10,92;-0,2;13,44;-0,51;14,82;-0,62;17,22;-0,57;19,62;-0,44;21;-0,17;23,44;-0,18;25,94;0,2;31,94;3,18;36,24;5,22;36,24;3,34;120920170100
Terramaistus a Gonnosfanadiga;PONTE RIO TERREMAISTUS;134,629;0,91;1,22;1,96;0,33;0;5,97;0;2,38;1,08;2,35;1,08;0,91;6,08;0,41;6,28;0,35;12,98;0,36;13,18;0,41;13,53;0,49;13,53;1,95;14,59;2,36;14,59;5,97;120920170100
Tirso a rifornitore Tirso;CANTONIERA DEL TIRSO;174,75;1,47;2,07;2,87;-0,19;0;9,7;19,25;9;38,45;8,3;41,06;7,36;47,76;2,56;51,32;0,01;76,74;-0,16;80,33;1,45;89,76;5,67;90,49;6,49;93,95;8,94;100;8,93;100,64;8,93;112,04;9,42;112,04;9,704;120920170100
