Cedrino;;;;;;;;;;
;;;;;;66,2;92,8;;;6 h;0,0;0;0;200420170000
;;;;;;81,8;114,4;;;12 h;0,0;0;0;200420170000
;;;;;;101;141;;;24 h;0,0;0;0;200420170000
8;Coghinas;Torralba;TORRALBA;Logudoro;409;37,6;52,4;;;1 h;0,0;0;0;200420170000
;;;;;;51,8;72;;;3 h;0,0;0;0;200420170000
;;;;;;63,6;88;;;6 h;0,0;0;0;200420170000
;;;;;;78;107,6;;;12 h;0,0;0;0;200420170000
;;;;;;95,6;131,4;;;24 h;0,0;0;0;200420170000
Flumendosa;;;;;;;;;;
1;Flumendosa;Ballao;BALLAO;Bacini Flumendosa-Flumineddu;100;46,4;65,8;;;1 h;0,0;0;0;200420170000
;;;;;;75;107,4;;;3 h;0,0;0;0;200420170000
;;;;;;101,8;146;;;6 h;0,0;0;0;200420170000
;;;;;;138;198,8;;;12 h;0,0;0;0;200420170000
;;;;;;187,2;270,4;;;24 h;0,0;0;0;200420170000
2;Flumendosa;Bau Mandara;VILLAGRANDE STRISAILI;Bacini Flumendosa-Flumineddu;863;52,2;74,2;;;1 h;0,0;0;0;200420170000
;;;;;;91,6;131;;;3 h;0,0;0;0;200420170000
;;;;;;130,6;187,4;;;6 h;0,0;0;0;200420170000
;;;;;;186,4;268,2;;;12 h;0,0;0;0;200420170000
;;;;;;265,6;383,6;;;24 h;0,0;0;0;200420170000
3;Flumendosa;Escalaplano;ESCALAPLANO;Bacini Flumendosa-Flumineddu;307;44,2;62,8;17:14;18:14 del 19 apr 2017;1 h;0,6;0,01;0,01;200420170000
;;;;;;69,2;99;15:14;18:14 del 19 apr 2017;3 h;0,6;0,01;0,01;200420170000
;;;;;;92;132;14:52;20:52 del 19 apr 2017;6 h;0,8;0,01;0,01;200420170000
;;;;;;122,4;176;08:52;20:52 del 19 apr 2017;12 h;0,8;0,01;0,00;200420170000
;;;;;;162,6;234,8;00:00;00:00 del 20 apr 2017;24 h;0,8;0,00;0,00;200420170000
4;Flumendosa;Flumini Uri a S.Vito;SAN VITO;Bacini Flumendosa-Flumineddu;16;47,4;67,4;;;1 h;0,0;0;0;200420170000
;;;;;;78,2;111,8;;;3 h;0,0;0;0;200420170000
;;;;;;107,2;153,6;;;6 h;0,0;0;0;200420170000
;;;;;;146,8;211,2;;;12 h;0,0;0;0;200420170000
;;;;;;201,2;290,6;;;24 h;0,0;0;0;200420170000
5;Flumendosa;Monte sa Scova;ARITZO;Bacini Flumendosa-Flumineddu;1158;39,8;55,6;;;1 h;0,0;0;0;200420170000
;;;;;;57;79,4;;;3 h;0,0;0;0;200420170000
;;;;;;71,8;99,4;;;6 h;0,0;0;0;200420170000
;;;;;;90,2;124,4;;;12 h;0,0;0;0;200420170000
;;;;;;113,2;155,8;;;24 h;0,0;0;0;200420170000
6;Flumendosa;Monte Santa Vittoria;ESTERZILI;Bacini Flumendosa-Flumineddu;1204;41,6;58,6;;;1 h;0,0;0;0;200420170000
;;;;;;61,2;86,2;;;3 h;0,0;0;0;200420170000
;;;;;;78,2;109,8;;;6 h;0,0;0;0;200420170000
;;;;;;99,8;139,8;;;12 h;0,0;0;0;200420170000
;;;;;;127,4;178;;;24 h;0,0;0;0;200420170000
7;Flumendosa;Sadali;SADALI;Bacini Flumendosa-Flumineddu;759;40,8;57,4;;;1 h;0,0;0;0;200420170000
;;;;;;59,2;83,2;;;3 h;0,0;0;0;200420170000
;;;;;;75;105;;;6 h;0,0;0;0;200420170000
;;;;;;94,8;132,6;;;12 h;0,0;0;0;200420170000
;;;;;;120;167,6;;;24 h;0,0;0;0;200420170000
Flumini Mannu di Cagliari;;;;;;;;;;
1;Flumini Mannu di Cagliari;Cagliari;CAGLIARI;Campidano;116;38,8;54,8;15:05;16:05 del 19 apr 2017;1 h;1,0;0,03;0,02;200420170000
;;;;;;54,6;76,8;14:44;17:44 del 19 apr 2017;3 h;1,2;0,02;0,02;200420170000
;;;;;;67,8;95;11:44;17:44 del 19 apr 2017;6 h;1,2;0,02;0,01;200420170000
;;;;;;84;117,6;05:44;17:44 del 19 apr 2017;12 h;1,2;0,01;0,01;200420170000
;;;;;;104,2;145,6;00:00;00:00 del 20 apr 2017;24 h;1,2;0,01;0,01;200420170000
2;Flumini Mannu di Cagliari;Fluminimannu a Decimomannu;DECIMOMANNU;Campidano;12;38,4;54;14:44;15:44 del 19 apr 2017;1 h;0,4;0,01;0,01;200420170000
;;;;;;53,4;75,2;14:28;17:28 del 19 apr 2017;3 h;0,6;0,01;0,01;200420170000
;;;;;;66;92,6;11:28;17:28 del 19 apr 2017;6 h;0,6;0,01;0,01;200420170000
;;;;;;81,4;113,8;05:28;17:28 del 19 apr 2017;12 h;0,6;0,01;0,01;200420170000
;;;;;;100,4;140,2;00:00;00:00 del 20 apr 2017;24 h;0,6;0,01;0,00;200420170000
3;Flumini Mannu di Cagliari;Fluminimannu a Furtei;FURTEI;Campidano;103;36,4;51,4;;;1 h;0,0;0;0;200420170000
;;;;;;49;69;;;3 h;0,0;0;0;200420170000
;;;;;;59,2;83,2;;;6 h;0,0;0;0;200420170000
;;;;;;71,6;100,2;;;12 h;0,0;0;0;200420170000
;;;;;;86,4;120,6;;;24 h;0,0;0;0;200420170000
4;Flumini Mannu di Cagliari;Mandas;MANDAS;Campidano;490;38;53,8;16:27;17:27 del 19 apr 2017;1 h;1,2;0,03;0,02;200420170000
;;;;;;53;74,4;14:27;17:27 del 19 apr 2017;3 h;1,2;0,02;0,02;200420170000
;;;;;;65;91,2;11:27;17:27 del 19 apr 2017;6 h;1,2;0,02;0,01;200420170000
;;;;;;80;112;05:27;17:27 del 19 apr 2017;12 h;1,2;0,02;0,01;200420170000
;;;;;;98,6;137,6;00:00;00:00 del 20 apr 2017;24 h;1,2;0,01;0,01;200420170000
